"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"288521"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"reuteri"
"4354103"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"324888"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"539647"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"340960"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"4397402"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"344703"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"549756"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"4428313"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"1756274"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA
"152485"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	""
"138389"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	""
"1033413"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	""
"303652"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	""
"4425214"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	""
"115186"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"sciuri"
"4312974"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	""
"4323284"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"succinus"
"519673"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	NA
"70830"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA
"214919"	"Bacteria"	"Firmicutes"	"Bacilli"	"Turicibacterales"	"Turicibacteraceae"	"Turicibacter"	""
"New.0.CleanUp.ReferenceOTU53655"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	""
"354574"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	""
"135956"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"269125"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA
"289627"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"ruminis"
"463794"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"ruminis"
"4390755"	"Bacteria"	"Tenericutes"	"Mollicutes"	"Anaeroplasmatales"	"Anaeroplasmataceae"	"Anaeroplasma"	""
"183174"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"[Ruminococcus]"	"gnavus"
"259631"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"[Ruminococcus]"	"gnavus"
"176798"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"176298"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"199215"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"258368"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"272060"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"263366"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"262104"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"New.0.CleanUp.ReferenceOTU14614"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	""
"187702"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	""
"178767"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	""
"181683"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"[Ruminococcus]"	"gnavus"
"1145098"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus"	"gauvreauii"
"4355436"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"312476"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"4480555"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"263546"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"3903651"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"838685"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"178959"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"332608"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"832558"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"162005"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"190114"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"317714"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	"flavefaciens"
"1111580"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"97263"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	""	""
"221429"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"269070"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"199307"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	NA	NA
"321251"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"177271"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Clostridium"	"methylpentosum"
"238487"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"4417539"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"4418586"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"186043"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"263828"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"262272"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"268220"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"New.0.ReferenceOTU283"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"4455677"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"4480176"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"665703"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"2883968"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"730939"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"4383953"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA
"832848"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	""
"260679"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	""
"167509"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"176118"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"259699"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"263337"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"4410988"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"267689"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"260553"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"790663"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"3392842"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"4464787"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"258559"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"4462541"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"276837"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"186777"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	""
"234121"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"309663"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"318732"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"197790"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"460611"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"183838"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"231563"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"3265889"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"273967"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"175758"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"180944"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"134065"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"172464"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"197126"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"259820"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"307416"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"174320"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"191067"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"839215"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"184966"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"233817"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"4393892"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"176472"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"2901246"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"1107303"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"191043"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"hathewayi"
"2986828"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"hathewayi"
"4469576"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"citroniae"
"3747551"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"citroniae"
"4455308"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"174667"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"4045882"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"New.0.ReferenceOTU68"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"citroniae"
"2148365"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"185587"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"259006"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"174824"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"266343"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"173892"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA
"38415"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	""
"839200"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	""
"4426877"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium"	"citroniae"
"136633"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	""	""
"661055"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"259870"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"214116"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"New.0.ReferenceOTU284"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	""	""	""
"771177"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"3709990"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"[Eubacterium]"	"dolichum"
"828435"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	""	""
"260397"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Allobaculum"	""
"4407703"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	""
"262095"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Clostridium"	"saccharogumia"
"4426641"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Allobaculum"	""
"182764"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	""
"1918929"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"mitochondria"	NA	NA
"1684221"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"C21_c20"
"174358"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"1571092"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"586453"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA
"376862"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	""
"2286580"	"Bacteria"	"Tenericutes"	"Mollicutes"	"RF39"	""	""	""
"4432841"	"Bacteria"	"Tenericutes"	"Mollicutes"	"RF39"	""	""	""
"178480"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"179547"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Oscillospira"	""
"187400"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcus"	""
"New.0.ReferenceOTU198"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU63"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.CleanUp.ReferenceOTU26335"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU145"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU116"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"321735"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"185550"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"177414"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"801260"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"176154"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU278"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"320169"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU188"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU248"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"192316"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"173852"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU320"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU265"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU39"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"177533"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"262752"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"3231096"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"197038"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU156"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"New.0.ReferenceOTU125"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
"187028"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"S24-7"	""	""
